Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
40.0,2019-03-15,put,SPY190315P00040000,0.01,0.0,0.01,0.0,0.0,0.0,148.0,1.875000625,SPY,False,SPY,270.49,2019-02-11 15:31:08,2018-12-26 15:26:16,"{'contractSymbol': 'SPY190315P00040000', 'strike': 40.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 148, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1545837976, 'impliedVolatility': 1.875000625, 'inTheMoney': False}"
50.0,2019-03-15,put,SPY190315P00050000,0.03,0.0,0.01,0.0,0.0,0.0,32.0,1.65625171875,SPY,False,SPY,270.49,2019-02-11 15:31:08,2018-09-22 03:48:24,"{'contractSymbol': 'SPY190315P00050000', 'strike': 50.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 32, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1537588104, 'impliedVolatility': 1.65625171875, 'inTheMoney': False}"
50.0,2019-04-18,put,SPY190418P00050000,0.01,0.0,0.01,0.0,0.0,1.0,1.0,1.15625421875,SPY,False,SPY,270.49,2019-02-11 15:31:08,2019-02-09 04:47:23,"{'contractSymbol': 'SPY190418P00050000', 'strike': 50.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1549687643, 'impliedVolatility': 1.15625421875, 'inTheMoney': False}"
55.0,2019-02-15,call,SPY190215C00055000,216.07,215.85,216.03,2.280014,1.0664737,6.0,175.0,6.345705192871094,SPY,False,SPY,270.45,2019-02-11 15:31:06,2019-02-11 15:10:35,"{'contractSymbol': 'SPY190215C00055000', 'strike': 55.0, 'currency': 'USD', 'lastPrice': 216.07, 'change': 2.280014, 'percentChange': 1.0664737, 'volume': 6, 'openInterest': 175, 'bid': 215.85, 'ask': 216.03, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549897835, 'impliedVolatility': 6.345705192871094, 'inTheMoney': True}"
55.0,2019-03-15,put,SPY190315P00055000,0.01,0.0,0.01,0.0,0.0,0.0,11.0,1.5625021874999998,SPY,False,SPY,270.49,2019-02-11 15:31:08,2018-08-15 18:46:24,"{'contractSymbol': 'SPY190315P00055000', 'strike': 55.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 11, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1534358784, 'impliedVolatility': 1.5625021874999998, 'inTheMoney': False}"
60.0,2019-03-15,put,SPY190315P00060000,0.01,0.0,0.01,0.0,0.0,0.0,275.0,1.46875265625,SPY,False,SPY,270.49,2019-02-11 15:31:08,2018-12-31 14:49:39,"{'contractSymbol': 'SPY190315P00060000', 'strike': 60.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 275, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1546267779, 'impliedVolatility': 1.46875265625, 'inTheMoney': False}"
65.0,2019-02-15,put,SPY190215P00065000,0.01,0.0,0.01,0.0,0.0,0.0,1.0,3.6250009375000003,SPY,False,SPY,270.45,2019-02-11 15:31:06,2018-12-31 20:38:26,"{'contractSymbol': 'SPY190215P00065000', 'strike': 65.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 1, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1546288706, 'impliedVolatility': 3.6250009375000003, 'inTheMoney': False}"
70.0,2019-02-15,call,SPY190215C00070000,200.96,200.82,200.99,1.2600098,0.6309513,1.0,233.0,5.349612687988279,SPY,False,SPY,270.45,2019-02-11 15:31:06,2019-02-11 15:06:16,"{'contractSymbol': 'SPY190215C00070000', 'strike': 70.0, 'currency': 'USD', 'lastPrice': 200.96, 'change': 1.2600098, 'percentChange': 0.6309513, 'volume': 1, 'openInterest': 233, 'bid': 200.82, 'ask': 200.99, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549897576, 'impliedVolatility': 5.349612687988279, 'inTheMoney': True}"
70.0,2019-03-15,put,SPY190315P00070000,0.01,0.0,0.01,0.0,0.0,0.0,7978.0,1.3125034374999998,SPY,False,SPY,270.49,2019-02-11 15:31:08,2019-01-02 17:50:11,"{'contractSymbol': 'SPY190315P00070000', 'strike': 70.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 7978, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1546451411, 'impliedVolatility': 1.3125034374999998, 'inTheMoney': False}"
75.0,2019-02-15,put,SPY190215P00075000,0.01,0.0,0.01,0.0,0.0,0.0,10.0,3.2500018749999997,SPY,False,SPY,270.45,2019-02-11 15:31:06,2018-12-31 18:06:43,"{'contractSymbol': 'SPY190215P00075000', 'strike': 75.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 10, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1546279603, 'impliedVolatility': 3.2500018749999997, 'inTheMoney': False}"
75.0,2019-03-15,put,SPY190315P00075000,0.01,0.0,0.01,0.0,0.0,4.0,8238.0,1.2500037499999999,SPY,False,SPY,270.49,2019-02-11 15:31:08,2019-01-31 16:17:40,"{'contractSymbol': 'SPY190315P00075000', 'strike': 75.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 4, 'openInterest': 8238, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1548951460, 'impliedVolatility': 1.2500037499999999, 'inTheMoney': False}"
80.0,2019-03-15,put,SPY190315P00080000,0.01,0.0,0.01,0.0,0.0,2650.0,2128.0,1.1875040625,SPY,False,SPY,270.49,2019-02-11 15:31:08,2019-01-18 14:42:01,"{'contractSymbol': 'SPY190315P00080000', 'strike': 80.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 2650, 'openInterest': 2128, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1547822521, 'impliedVolatility': 1.1875040625, 'inTheMoney': False}"
85.0,2019-02-15,put,SPY190215P00085000,0.01,0.0,0.01,0.0,0.0,4.0,4.0,2.93750265625,SPY,False,SPY,270.45,2019-02-11 15:31:06,2019-01-02 15:11:07,"{'contractSymbol': 'SPY190215P00085000', 'strike': 85.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 4, 'openInterest': 4, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1546441867, 'impliedVolatility': 2.93750265625, 'inTheMoney': False}"
85.0,2019-03-15,put,SPY190315P00085000,0.01,0.0,0.01,0.0,0.0,25.0,5280.0,1.125004375,SPY,False,SPY,270.49,2019-02-11 15:31:08,2019-01-28 16:05:12,"{'contractSymbol': 'SPY190315P00085000', 'strike': 85.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 25, 'openInterest': 5280, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1548691512, 'impliedVolatility': 1.125004375, 'inTheMoney': False}"
90.0,2019-02-15,call,SPY190215C00090000,180.11,180.81,181.08,0.0,0.0,6.0,21.0,4.451176311035156,SPY,False,SPY,270.45,2019-02-11 15:31:06,2019-01-31 20:59:33,"{'contractSymbol': 'SPY190215C00090000', 'strike': 90.0, 'currency': 'USD', 'lastPrice': 180.11, 'change': 0.0, 'percentChange': 0.0, 'volume': 6, 'openInterest': 21, 'bid': 180.81, 'ask': 181.08, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1548968373, 'impliedVolatility': 4.451176311035156, 'inTheMoney': True}"
90.0,2019-02-15,put,SPY190215P00090000,0.01,0.0,0.01,0.0,0.0,1.0,2201.0,2.81250296875,SPY,False,SPY,270.45,2019-02-11 15:31:06,2019-02-08 15:15:00,"{'contractSymbol': 'SPY190215P00090000', 'strike': 90.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 2201, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549638900, 'impliedVolatility': 2.81250296875, 'inTheMoney': False}"
90.0,2019-03-15,put,SPY190315P00090000,0.01,0.0,0.01,0.0,0.0,1440.0,5296.0,1.09375453125,SPY,False,SPY,270.49,2019-02-11 15:31:08,2019-01-30 19:31:15,"{'contractSymbol': 'SPY190315P00090000', 'strike': 90.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 1440, 'openInterest': 5296, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1548876675, 'impliedVolatility': 1.09375453125, 'inTheMoney': False}"
95.0,2019-02-15,call,SPY190215C00095000,175.03,175.83,176.11,0.0,0.0,16.0,23.0,4.277348403320312,SPY,False,SPY,270.45,2019-02-11 15:31:06,2019-01-31 20:59:52,"{'contractSymbol': 'SPY190215C00095000', 'strike': 95.0, 'currency': 'USD', 'lastPrice': 175.03, 'change': 0.0, 'percentChange': 0.0, 'volume': 16, 'openInterest': 23, 'bid': 175.83, 'ask': 176.11, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1548968392, 'impliedVolatility': 4.277348403320312, 'inTheMoney': True}"
95.0,2019-03-15,put,SPY190315P00095000,0.01,0.0,0.01,0.0,0.0,250.0,9675.0,1.0312548437500002,SPY,False,SPY,270.49,2019-02-11 15:31:08,2019-02-01 20:02:18,"{'contractSymbol': 'SPY190315P00095000', 'strike': 95.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 250, 'openInterest': 9675, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1549051338, 'impliedVolatility': 1.0312548437500002, 'inTheMoney': False}"
