Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
10.0,2019-02-13,call,VIX190213C00010000,5.5,5.4,5.6,-0.9000001,-14.062502,8.0,386.0,3.468751328125,VIX,True,^VIX,15.44,2019-02-12 16:30:33,2019-02-12 14:48:21,"{'contractSymbol': 'VIX190213C00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 5.5, 'change': -0.9000001, 'percentChange': -14.062502, 'volume': 8, 'openInterest': 386, 'bid': 5.4, 'ask': 5.6, 'contractSize': 'REGULAR', 'expiration': 1550016000, 'lastTradeDate': 1549982901, 'impliedVolatility': 3.468751328125, 'inTheMoney': True}"
10.0,2019-02-13,put,VIX190213P00010000,0.02,0.0,0.05,0.0,0.0,5.0,270.0,2.9687525781249997,VIX,True,^VIX,15.44,2019-02-12 16:30:33,2019-02-08 15:08:16,"{'contractSymbol': 'VIX190213P00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 270, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1550016000, 'lastTradeDate': 1549638496, 'impliedVolatility': 2.9687525781249997, 'inTheMoney': False}"
10.0,2019-02-20,call,VIXW190220C00010000,6.2,6.0,6.7,-2.0,-24.390244,10.0,55.0,3.6679695800781253,VIXW,True,^VIX,15.44,2019-02-12 16:30:33,2019-02-12 15:42:36,"{'contractSymbol': 'VIXW190220C00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 6.2, 'change': -2.0, 'percentChange': -24.390244, 'volume': 10, 'openInterest': 55, 'bid': 6.0, 'ask': 6.7, 'contractSize': 'REGULAR', 'expiration': 1550620800, 'lastTradeDate': 1549986156, 'impliedVolatility': 3.6679695800781253, 'inTheMoney': True}"
10.0,2019-02-27,call,VIXW190227C00010000,6.53,6.0,7.0,-0.77,-10.547945,20.0,1.0,2.949221376953125,VIXW,True,^VIX,15.44,2019-02-12 16:30:33,2019-02-12 15:20:35,"{'contractSymbol': 'VIXW190227C00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 6.53, 'change': -0.77, 'percentChange': -10.547945, 'volume': 20, 'openInterest': 1, 'bid': 6.0, 'ask': 7.0, 'contractSize': 'REGULAR', 'expiration': 1551225600, 'lastTradeDate': 1549984835, 'impliedVolatility': 2.949221376953125, 'inTheMoney': True}"
10.0,2019-03-19,call,VIX190319C00010000,6.6,6.5,6.7,-0.32999992,-4.761904,50.0,1742.0,2.050786123046875,VIX,True,^VIX,15.44,2019-02-12 16:30:33,2019-02-12 16:20:14,"{'contractSymbol': 'VIX190319C00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 6.6, 'change': -0.32999992, 'percentChange': -4.761904, 'volume': 50, 'openInterest': 1742, 'bid': 6.5, 'ask': 6.7, 'contractSize': 'REGULAR', 'expiration': 1552953600, 'lastTradeDate': 1549988414, 'impliedVolatility': 2.050786123046875, 'inTheMoney': True}"
10.0,2019-03-19,put,VIX190319P00010000,0.03,0.0,0.05,0.0,0.0,5.0,1356.0,0.70312796875,VIX,True,^VIX,15.44,2019-02-12 16:30:33,2019-01-14 16:31:44,"{'contractSymbol': 'VIX190319P00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 1356, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1552953600, 'lastTradeDate': 1547483504, 'impliedVolatility': 0.70312796875, 'inTheMoney': False}"
10.0,2019-04-17,call,VIX190417C00010000,7.0,6.6,6.8,0.0,0.0,9.0,1163.0,1.588869243164062,VIX,True,^VIX,15.44,2019-02-12 16:30:33,2019-02-11 18:02:24,"{'contractSymbol': 'VIX190417C00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 7.0, 'change': 0.0, 'percentChange': 0.0, 'volume': 9, 'openInterest': 1163, 'bid': 6.6, 'ask': 6.8, 'contractSize': 'REGULAR', 'expiration': 1555459200, 'lastTradeDate': 1549908144, 'impliedVolatility': 1.588869243164062, 'inTheMoney': True}"
10.0,2019-04-17,put,VIX190417P00010000,0.02,0.0,0.05,0.0,0.0,1.0,1047.0,0.523442265625,VIX,True,^VIX,15.44,2019-02-12 16:30:33,2019-02-05 15:51:48,"{'contractSymbol': 'VIX190417P00010000', 'strike': 10.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1047, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1555459200, 'lastTradeDate': 1549381908, 'impliedVolatility': 0.523442265625, 'inTheMoney': False}"
10.5,2019-02-13,call,VIX190213C00010500,5.8,4.9,5.1,0.0,0.0,1.0,46.0,3.1406271484375,VIX,True,^VIX,15.44,2019-02-12 16:30:33,2019-02-11 20:08:30,"{'contractSymbol': 'VIX190213C00010500', 'strike': 10.5, 'currency': 'USD', 'lastPrice': 5.8, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 46, 'bid': 4.9, 'ask': 5.1, 'contractSize': 'REGULAR', 'expiration': 1550016000, 'lastTradeDate': 1549915710, 'impliedVolatility': 3.1406271484375, 'inTheMoney': True}"
10.5,2019-02-20,call,VIXW190220C00010500,8.8,5.5,6.2,0.0,0.0,1.0,36.0,3.3906265234374997,VIXW,True,^VIX,15.44,2019-02-12 16:30:33,2019-01-22 15:50:35,"{'contractSymbol': 'VIXW190220C00010500', 'strike': 10.5, 'currency': 'USD', 'lastPrice': 8.8, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 36, 'bid': 5.5, 'ask': 6.2, 'contractSize': 'REGULAR', 'expiration': 1550620800, 'lastTradeDate': 1548172235, 'impliedVolatility': 3.3906265234374997, 'inTheMoney': True}"
