Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
690.0,2019-02-15,call,AMZN190215C00690000,904.25,936.95,943.15,0.0,0.0,2.0,2.0,3.394532763671875,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 16:26:45,"{'contractSymbol': 'AMZN190215C00690000', 'strike': 690.0, 'currency': 'USD', 'lastPrice': 904.25, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 2, 'bid': 936.95, 'ask': 943.15, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1549988805, 'impliedVolatility': 3.394532763671875, 'inTheMoney': True}"
690.0,2019-02-15,put,AMZN190215P00690000,0.02,0.0,0.15,0.0,0.0,8.0,64.0,2.6406283984375003,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-01-25 18:35:43,"{'contractSymbol': 'AMZN190215P00690000', 'strike': 690.0, 'currency': 'USD', 'lastPrice': 0.02, 'change': 0.0, 'percentChange': 0.0, 'volume': 8, 'openInterest': 64, 'bid': 0.0, 'ask': 0.15, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1548441343, 'impliedVolatility': 2.6406283984375003, 'inTheMoney': False}"
710.0,2019-02-15,call,AMZN190215C00710000,928.14,916.45,923.65,0.0,0.0,10.0,10.0,3.28906427734375,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-01-19 04:49:48,"{'contractSymbol': 'AMZN190215C00710000', 'strike': 710.0, 'currency': 'USD', 'lastPrice': 928.14, 'change': 0.0, 'percentChange': 0.0, 'volume': 10, 'openInterest': 10, 'bid': 916.45, 'ask': 923.65, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1547873388, 'impliedVolatility': 3.28906427734375, 'inTheMoney': True}"
750.0,2019-04-18,put,AMZN190418P00750000,0.1,0.09,0.18,-0.16,-61.538464,10.0,254.0,0.6201209863281252,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-12 16:18:36,"{'contractSymbol': 'AMZN190418P00750000', 'strike': 750.0, 'currency': 'USD', 'lastPrice': 0.1, 'change': -0.16, 'percentChange': -61.538464, 'volume': 10, 'openInterest': 254, 'bid': 0.09, 'ask': 0.18, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1549988316, 'impliedVolatility': 0.6201209863281252, 'inTheMoney': False}"
760.0,2019-03-15,call,AMZN190315C00760000,881.0,865.5,875.4,0.0,0.0,10.0,7.0,1.1215864233398438,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-01-30 14:49:01,"{'contractSymbol': 'AMZN190315C00760000', 'strike': 760.0, 'currency': 'USD', 'lastPrice': 881.0, 'change': 0.0, 'percentChange': 0.0, 'volume': 10, 'openInterest': 7, 'bid': 865.5, 'ask': 875.4, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1548859741, 'impliedVolatility': 1.1215864233398438, 'inTheMoney': True}"
760.0,2019-03-15,put,AMZN190315P00760000,0.03,0.01,0.02,0.0,0.0,20.0,369.0,0.7382838671874999,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-07 15:39:23,"{'contractSymbol': 'AMZN190315P00760000', 'strike': 760.0, 'currency': 'USD', 'lastPrice': 0.03, 'change': 0.0, 'percentChange': 0.0, 'volume': 20, 'openInterest': 369, 'bid': 0.01, 'ask': 0.02, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1549553963, 'impliedVolatility': 0.7382838671874999, 'inTheMoney': False}"
760.0,2019-04-18,call,AMZN190418C00760000,611.95,868.65,878.55,0.0,0.0,0.0,2.0,0.9315192395019531,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2018-12-24 14:34:49,"{'contractSymbol': 'AMZN190418C00760000', 'strike': 760.0, 'currency': 'USD', 'lastPrice': 611.95, 'change': 0.0, 'percentChange': 0.0, 'volume': 0, 'openInterest': 2, 'bid': 868.65, 'ask': 878.55, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1545662089, 'impliedVolatility': 0.9315192395019531, 'inTheMoney': True}"
760.0,2019-04-18,put,AMZN190418P00760000,0.36,0.0,0.51,0.0,0.0,5.0,7.0,0.6469761865234375,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-02-01 19:25:41,"{'contractSymbol': 'AMZN190418P00760000', 'strike': 760.0, 'currency': 'USD', 'lastPrice': 0.36, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 7, 'bid': 0.0, 'ask': 0.51, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1549049141, 'impliedVolatility': 0.6469761865234375, 'inTheMoney': False}"
765.0,2019-02-15,put,AMZN190215P00765000,0.05,0.0,0.05,0.0,0.0,5.0,5.0,2.14844212890625,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-01-19 04:50:04,"{'contractSymbol': 'AMZN190215P00765000', 'strike': 765.0, 'currency': 'USD', 'lastPrice': 0.05, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 5, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1547873404, 'impliedVolatility': 2.14844212890625, 'inTheMoney': False}"
765.0,2019-03-15,call,AMZN190315C00765000,877.7,861.9,871.8,0.0,0.0,2.0,2.0,1.228519482421875,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-01-28 14:32:19,"{'contractSymbol': 'AMZN190315C00765000', 'strike': 765.0, 'currency': 'USD', 'lastPrice': 877.7, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 2, 'bid': 861.9, 'ask': 871.8, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1548685939, 'impliedVolatility': 1.228519482421875, 'inTheMoney': True}"
765.0,2019-03-15,put,AMZN190315P00765000,0.3,0.0,0.11,0.0,0.0,5.0,6.0,0.804689453125,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-01-16 18:07:02,"{'contractSymbol': 'AMZN190315P00765000', 'strike': 765.0, 'currency': 'USD', 'lastPrice': 0.3, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 6, 'bid': 0.0, 'ask': 0.11, 'contractSize': 'REGULAR', 'expiration': 1552608000, 'lastTradeDate': 1547662022, 'impliedVolatility': 0.804689453125, 'inTheMoney': False}"
770.0,2019-02-15,put,AMZN190215P00770000,0.05,0.0,0.05,0.0,0.0,5.0,8.0,2.1250046874999997,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-01-29 15:56:57,"{'contractSymbol': 'AMZN190215P00770000', 'strike': 770.0, 'currency': 'USD', 'lastPrice': 0.05, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 8, 'bid': 0.0, 'ask': 0.05, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1548777417, 'impliedVolatility': 2.1250046874999997, 'inTheMoney': False}"
770.0,2019-04-18,put,AMZN190418P00770000,0.64,0.0,0.58,0.0,0.0,1.0,10.0,0.6450230810546875,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-01-22 16:58:56,"{'contractSymbol': 'AMZN190418P00770000', 'strike': 770.0, 'currency': 'USD', 'lastPrice': 0.64, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 10, 'bid': 0.0, 'ask': 0.58, 'contractSize': 'REGULAR', 'expiration': 1555545600, 'lastTradeDate': 1548176336, 'impliedVolatility': 0.6450230810546875, 'inTheMoney': False}"
775.0,2019-02-15,put,AMZN190215P00775000,0.25,0.0,0.15,0.0,0.0,1.0,1.0,2.2968792578125,AMZN,False,AMZN,1629.09,2019-02-12 16:46:15,2019-01-08 15:56:44,"{'contractSymbol': 'AMZN190215P00775000', 'strike': 775.0, 'currency': 'USD', 'lastPrice': 0.25, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 0.0, 'ask': 0.15, 'contractSize': 'REGULAR', 'expiration': 1550188800, 'lastTradeDate': 1546963004, 'impliedVolatility': 2.2968792578125, 'inTheMoney': False}"
