,Strike,Expiry,Type,Last_y,Bid_y,Ask_y,Vol_y,Underlying_Price_y,TtM_y,Implied_vol_bis,BS_Price,Avr_Price
0,710.0,2019-02-15,call,928.14,916.45,923.65,10.0,1629.09,0.00821917808219178,3.8467180476331713,920.2935738491526,920.05
1,760.0,2019-03-15,call,881.0,865.5,875.4,10.0,1629.09,0.08493150684931507,1.3901221278111635,875.7042393898835,870.45
2,765.0,2019-03-15,call,877.7,861.9,871.8,2.0,1629.09,0.08493150684931507,1.336084075261578,869.8350765312193,866.8499999999999
3,800.0,2019-03-15,call,933.52,827.2,837.0,2.0,1629.09,0.08493150684931507,1.2725924862359463,835.0634382697282,832.1
4,800.0,2019-03-15,put,0.04,0.03,0.05,2.0,1629.09,0.08493150684931507,0.7544203812384606,0.0392280963302577,0.04
5,800.0,2019-04-18,put,0.47,0.03,0.61,3.0,1629.09,0.1780821917808219,0.6087517846912146,0.23258210944679591,0.32
6,810.0,2019-04-18,put,1.25,0.03,0.63,1.0,1629.09,0.1780821917808219,0.6012774921232462,0.2425339110775684,0.33
7,820.0,2019-03-15,call,823.0,805.75,815.15,6.0,1629.09,0.08493150684931507,1.2264154480877516,814.965835171699,810.45
8,820.0,2019-04-18,call,869.15,808.8,818.65,5.0,1629.09,0.1780821917808219,0.8838543274184317,817.8981578124029,813.7249999999999
9,820.0,2019-04-18,put,0.76,0.04,0.64,1.0,1629.09,0.1780821917808219,0.5946107519313693,0.2561006695724193,0.34
10,830.0,2019-04-18,put,1.45,0.06,0.66,2.0,1629.09,0.1780821917808219,0.5870194258105754,0.2658929755851749,0.36
11,840.0,2019-03-01,call,795.0,785.3,793.6,5.0,1629.09,0.04657534246575343,1.5554548646245896,793.5374232885059,789.45
12,840.0,2019-04-18,put,1.45,0.07,0.67,1.0,1629.09,0.1780821917808219,0.579401605463028,0.27560261430109323,0.37
13,850.0,2019-04-18,put,0.42,0.09,0.69,1.0,1629.09,0.1780821917808219,0.5732401331230998,0.29258796024976386,0.38999999999999996
14,860.0,2019-04-18,put,0.94,0.1,0.7,1.0,1629.09,0.1780821917808219,0.5662279249036313,0.30579090729176617,0.39999999999999997
15,865.0,2019-03-15,call,738.4,760.9,770.3,1.0,1629.09,0.08493150684931507,1.112643814392388,769.4596750372372,765.5999999999999
16,870.0,2019-04-18,put,0.5,0.14,0.72,3.0,1629.09,0.1780821917808219,0.559148750961423,0.31888919095421997,0.43
17,880.0,2019-04-18,put,1.07,0.15,0.74,2.0,1629.09,0.1780821917808219,0.5526455656811595,0.3355522363645811,0.445
18,890.0,2019-04-18,put,0.26,0.16,0.76,1.0,1629.09,0.1780821917808219,0.5460343173342943,0.35209494800267294,0.46
19,900.0,2019-04-18,put,0.59,0.18,0.77,1.0,1629.09,0.1780821917808219,0.5393289831900596,0.3685115017452567,0.475
20,910.0,2019-04-18,put,0.64,0.2,0.8,1.0,1629.09,0.1780821917808219,0.533083647234738,0.3884607682255137,0.5
21,920.0,2019-02-22,call,789.65,707.7,710.6,1.0,1629.09,0.0273972602739726,1.8155955229485035,713.6876892467756,709.1500000000001
22,920.0,2019-04-18,put,0.48,0.25,0.82,3.0,1629.09,0.1780821917808219,0.5267141847839951,0.40826199110835937,0.5349999999999999
23,930.0,2019-04-18,put,1.41,0.28,0.84,1.0,1629.09,0.1780821917808219,0.5197470376116039,0.42425029018652083,0.56
24,935.0,2019-03-15,put,1.3,0.01,0.41,5.0,1629.09,0.08493150684931507,0.6594650725531578,0.12801801184544015,0.21
25,940.0,2019-02-22,call,738.02,687.85,691.0,8.0,1629.09,0.0273972602739726,1.6834329321828485,692.8060004098134,689.425
